2025-10-29T11:14:18.560165 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-10-29T11:14:22.022438 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-10-29T12:48:57.767008 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-10-29T12:48:59.112173 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-10-29T12:51:14.593036 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-10-29T12:51:24.708363 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-20T09:13:30.568629 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-20T09:13:33.033033 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-20T21:39:53.146385 - USB Removed: Bus 003 Device 011: ID 03f0:1985 HP, Inc USB Flash Drive | Details: {}
2025-11-20T21:39:53.280007 - USB Removed: 3-6:HP USB Flash Drive | Details: {}
2025-11-20T21:39:53.306102 - USB Removed: 3-6:1.0:Unknown Unknown | Details: {}
2025-11-20T21:39:58.332076 - USB Inserted: Bus 003 Device 012: ID 03f0:1985 HP, Inc USB Flash Drive | Details: {}
2025-11-20T21:39:58.351289 - USB Inserted: 3-6:HP USB Flash Drive | Details: {}
2025-11-20T21:39:58.449186 - USB Inserted: 3-6:1.0:Unknown Unknown | Details: {}
2025-11-20T21:40:08.495985 - USB Removed: Bus 003 Device 012: ID 03f0:1985 HP, Inc USB Flash Drive | Details: {}
2025-11-20T21:40:08.522933 - USB Removed: 3-6:HP USB Flash Drive | Details: {}
2025-11-20T21:40:08.553924 - USB Removed: 3-6:1.0:Unknown Unknown | Details: {}
2025-11-20T21:40:13.645199 - USB Inserted: Bus 003 Device 013: ID 03f0:1985 HP, Inc USB Flash Drive | Details: {}
2025-11-20T21:40:13.669894 - USB Inserted: 3-6:HP USB Flash Drive | Details: {}
2025-11-20T21:40:13.692821 - USB Inserted: 3-6:1.0:Unknown Unknown | Details: {}
2025-11-20T21:42:39.030217 - USB Inserted: Bus 003 Device 014: ID 03f0:1985 HP, Inc USB Flash Drive | Details: {}
2025-11-20T21:42:39.050407 - USB Removed: Bus 003 Device 013: ID 03f0:1985 HP, Inc USB Flash Drive | Details: {}
2025-11-20T21:44:04.232592 - USB Removed: Bus 003 Device 014: ID 03f0:1985 HP, Inc USB Flash Drive | Details: {}
2025-11-20T21:44:04.254875 - USB Removed: 3-6:HP USB Flash Drive | Details: {}
2025-11-20T21:44:04.413328 - USB Removed: 3-6:1.0:Unknown Unknown | Details: {}
2025-11-20T21:44:19.474353 - USB Inserted: 3-6:1.0:Unknown Unknown | Details: {}
