2025-04-07T08:31:14.687273 - New user added
2025-04-07T08:31:17.786136 - User accepted by admin
2025-04-07T08:31:22.612275 - Network activity reported
2025-04-07T08:31:24.479730 - Activity updated
User Logs:
  PID: 0, Name: System Idle Process, CPU: 0.0%, Memory: 0.00010413851672386474%
  PID: 4, Name: System, CPU: 0.0%, Memory: 0.1311103925553457%
  PID: 188, Name: , CPU: 0.0%, Memory: 0.5428220184231449%
  PID: 232, Name: Registry, CPU: 0.0%, Memory: 0.683721431550534%
  PID: 792, Name: smss.exe, CPU: 0.0%, Memory: 0.018276309685038263%
  PID: 1068, Name: csrss.exe, CPU: 0.0%, Memory: 0.06420139556026262%
  PID: 1200, Name: wininit.exe, CPU: 0.0%, Memory: 0.06388898001009102%
  PID: 1208, Name: csrss.exe, CPU: 0.0%, Memory: 0.07258454615653373%
  PID: 1284, Name: services.exe, CPU: 0.0%, Memory: 0.13183936217241277%
  PID: 1312, Name: winlogon.exe, CPU: 0.0%, Memory: 0.11871790906520581%
  PID: 1340, Name: svchost.exe, CPU: 0.0%, Memory: 0.1857831138353747%
  PID: 1360, Name: LsaIso.exe, CPU: 0.0%, Memory: 0.042852999631870343%
  PID: 1376, Name: lsass.exe, CPU: 0.0%, Memory: 0.37718970757383813%
  PID: 1512, Name: svchost.exe, CPU: 0.0%, Memory: 0.4577408502597475%
  PID: 1528, Name: svchost.exe, CPU: 0.0%, Memory: 0.19031313931286284%
  PID: 1536, Name: McUICnt.exe, CPU: 0.0%, Memory: 0.08742428478968445%
  PID: 1540, Name: fontdrvhost.exe, CPU: 0.0%, Memory: 0.08029079639409972%
  PID: 1548, Name: fontdrvhost.exe, CPU: 0.0%, Memory: 0.045300254774881164%
  PID: 1568, Name: svchost.exe, CPU: 0.0%, Memory: 0.11491685320478476%
  PID: 1644, Name: svchost.exe, CPU: 0.0%, Memory: 0.2092663493566062%
  PID: 1660, Name: svchost.exe, CPU: 0.0%, Memory: 0.11699962353926205%
  PID: 1700, Name: svchost.exe, CPU: 0.0%, Memory: 0.1233520730594178%
  PID: 1796, Name: dwm.exe, CPU: 0.0%, Memory: 1.3155818817725833%
  PID: 1836, Name: svchost.exe, CPU: 0.0%, Memory: 0.056547214581058554%
  PID: 1852, Name: svchost.exe, CPU: 0.0%, Memory: 0.12621588226932406%
  PID: 1892, Name: svchost.exe, CPU: 0.0%, Memory: 0.1345990328655952%
  PID: 1972, Name: svchost.exe, CPU: 0.0%, Memory: 0.14969911779055559%
  PID: 1988, Name: svchost.exe, CPU: 0.0%, Memory: 0.12491415081027576%
  PID: 1996, Name: svchost.exe, CPU: 0.0%, Memory: 0.1402225127686839%
  PID: 2016, Name: svchost.exe, CPU: 0.0%, Memory: 0.17750410175582748%
  PID: 2020, Name: svchost.exe, CPU: 0.0%, Memory: 0.13923319685980717%
  PID: 2064, Name: Grammarly.WebUI.exe, CPU: 0.0%, Memory: 0.5303774656746432%
  PID: 2128, Name: svchost.exe, CPU: 0.0%, Memory: 0.38354215709399386%
  PID: 2156, Name: svchost.exe, CPU: 0.0%, Memory: 0.11528133801331827%
  PID: 2176, Name: svchost.exe, CPU: 0.0%, Memory: 0.09018395548286687%
  PID: 2228, Name: ms-teams.exe, CPU: 0.0%, Memory: 0.2701353123817052%
  PID: 2276, Name: svchost.exe, CPU: 0.0%, Memory: 0.15886330726225567%
  PID: 2428, Name: chrome.exe, CPU: 0.0%, Memory: 0.2782581166861666%
  PID: 2520, Name: svchost.exe, CPU: 0.0%, Memory: 0.1048674863409318%
  PID: 2656, Name: amdfendrsr.exe, CPU: 0.0%, Memory: 0.09023602474122881%
  PID: 2704, Name: atiesrxx.exe, CPU: 0.0%, Memory: 0.08044700416918552%
  PID: 2752, Name: svchost.exe, CPU: 0.0%, Memory: 0.1429821834618663%
  PID: 2864, Name: svchost.exe, CPU: 0.0%, Memory: 0.33063979059827053%
  PID: 2876, Name: svchost.exe, CPU: 0.0%, Memory: 0.13855629650110204%
  PID: 2908, Name: RuntimeBroker.exe, CPU: 0.0%, Memory: 0.18328378943400195%
  PID: 2932, Name: cmd.exe, CPU: 0.0%, Memory: 0.054880998313476724%
  PID: 3036, Name: SynTPEnhService.exe, CPU: 0.0%, Memory: 0.12923589925431617%
  PID: 3048, Name: conhost.exe, CPU: 0.0%, Memory: 0.1266324363362195%
  PID: 3060, Name: svchost.exe, CPU: 0.0%, Memory: 0.09278741840096348%
  PID: 3144, Name: svchost.exe, CPU: 0.0%, Memory: 0.3034075684749799%
  PID: 3288, Name: SECOMN64.exe, CPU: 0.0%, Memory: 0.11830135499831035%
  PID: 3296, Name: RtkBtManServ.exe, CPU: 0.0%, Memory: 0.07654180979204059%
  PID: 3324, Name: atieclxx.exe, CPU: 0.0%, Memory: 0.15547880546873005%
  PID: 3332, Name: svchost.exe, CPU: 0.0%, Memory: 0.23358269301162862%
  PID: 3336, Name: svchost.exe, CPU: 0.0%, Memory: 0.06467001888552001%
  PID: 3348, Name: svchost.exe, CPU: 0.0%, Memory: 0.10517990189110339%
  PID: 3356, Name: HPSystemEventUtilityBackground.exe, CPU: 0.0%, Memory: 0.8752321638057213%
  PID: 3448, Name: MemCompression, CPU: 0.0%, Memory: 1.3333374988740023%
  PID: 3504, Name: svchost.exe, CPU: 0.0%, Memory: 0.1190303246153774%
  PID: 3580, Name: TouchpointAnalyticsClientService.exe, CPU: 0.0%, Memory: 1.1356825941321071%
  PID: 3588, Name: SysInfoCap.exe, CPU: 0.0%, Memory: 0.4644057153300748%
  PID: 3596, Name: NetworkCap.exe, CPU: 0.0%, Memory: 0.1243413889682945%
  PID: 3604, Name: DiagsCap.exe, CPU: 0.0%, Memory: 0.2978882270886151%
  PID: 3612, Name: AppHelperCap.exe, CPU: 0.0%, Memory: 0.308718632827897%
  PID: 3620, Name: svchost.exe, CPU: 0.0%, Memory: 0.11543754578840408%
  PID: 3628, Name: svchost.exe, CPU: 0.0%, Memory: 0.09716123610336581%
  PID: 3832, Name: msedgewebview2.exe, CPU: 0.0%, Memory: 0.11752031612288136%
  PID: 3880, Name: svchost.exe, CPU: 0.0%, Memory: 0.23300993116964738%
  PID: 3892, Name: svchost.exe, CPU: 0.0%, Memory: 0.18567897531865082%
  PID: 3972, Name: hp-one-agent-service.exe, CPU: 0.0%, Memory: 0.4777875147290915%
  PID: 4000, Name: PEFService.exe, CPU: 0.0%, Memory: 0.04368610776566126%
  PID: 4196, Name: svchost.exe, CPU: 0.0%, Memory: 0.0903922325163146%
  PID: 4212, Name: Grammarly.Desktop.exe, CPU: 0.0%, Memory: 3.7138398526648264%
  PID: 4360, Name: svchost.exe, CPU: 0.0%, Memory: 0.0794576882603088%
  PID: 4400, Name: svchost.exe, CPU: 0.0%, Memory: 0.2801326099871962%
  PID: 4428, Name: svchost.exe, CPU: 0.0%, Memory: 0.15396879697623403%
  PID: 4456, Name: spoolsv.exe, CPU: 0.0%, Memory: 0.16948543596808988%
  PID: 4492, Name: svchost.exe, CPU: 0.0%, Memory: 0.3339722231334343%
  PID: 4564, Name: RuntimeBroker.exe, CPU: 0.0%, Memory: 0.19244797890570203%
  PID: 4620, Name: svchost.exe, CPU: 0.0%, Memory: 0.08726807701459866%
  PID: 4636, Name: svchost.exe, CPU: 0.0%, Memory: 0.07737491792583151%
  PID: 4648, Name: svchost.exe, CPU: 0.0%, Memory: 0.3228814711023426%
  PID: 4704, Name: svchost.exe, CPU: 0.0%, Memory: 0.26862530388920913%
  PID: 4724, Name: RtkAudUService64.exe, CPU: 0.0%, Memory: 0.16105021611345682%
  PID: 4736, Name: RtkWiFiManServ.exe, CPU: 0.0%, Memory: 0.10523197114946532%
  PID: 4880, Name: svchost.exe, CPU: 0.0%, Memory: 0.06862728252102686%
  PID: 4900, Name: HPCommRecovery.exe, CPU: 0.0%, Memory: 0.276435692643499%
  PID: 4912, Name: nssm.exe, CPU: 0.0%, Memory: 0.06071275525001314%
  PID: 4920, Name: svchost.exe, CPU: 0.0%, Memory: 0.6130634479533918%
  PID: 4932, Name: svchost.exe, CPU: 0.0%, Memory: 0.13808767317584464%
  PID: 4968, Name: MpDefenderCoreService.exe, CPU: 0.0%, Memory: 0.26805254204722784%
  PID: 4984, Name: ModuleCoreService.exe, CPU: 0.0%, Memory: 0.054568582763305125%
  PID: 5000, Name: svchost.exe, CPU: 0.0%, Memory: 0.35334198724407306%
  PID: 5024, Name: mongod.exe, CPU: 0.0%, Memory: 2.0439787369976554%
  PID: 5044, Name: mfemms.exe, CPU: 0.0%, Memory: 0.180940672807715%
  PID: 5068, Name: mysqld.exe, CPU: 0.0%, Memory: 0.17505684661281662%
  PID: 5088, Name: OfficeClickToRun.exe, CPU: 0.0%, Memory: 0.7035598189864302%
  PID: 5108, Name: svchost.exe, CPU: 0.0%, Memory: 0.09367259579311635%
  PID: 5176, Name: SECOCL64.exe, CPU: 0.0%, Memory: 0.09846296756241411%
  PID: 5192, Name: svchost.exe, CPU: 0.0%, Memory: 0.05993171637458416%
  PID: 5204, Name: svchost.exe, CPU: 0.0%, Memory: 0.3144983205060715%
  PID: 5248, Name: MsMpEng.exe, CPU: 0.0%, Memory: 4.0395330637187135%
  PID: 5296, Name: svchost.exe, CPU: 0.0%, Memory: 0.08180080488659576%
  PID: 5340, Name: wslservice.exe, CPU: 0.0%, Memory: 0.3239749255279432%
  PID: 5368, Name: taskhostw.exe, CPU: 0.0%, Memory: 0.1119489054781546%
  PID: 5472, Name: svchost.exe, CPU: 0.0%, Memory: 0.10455507079076021%
  PID: 5484, Name: expressvpnd.exe, CPU: 0.0%, Memory: 0.18942796192070996%
  PID: 5644, Name: conhost.exe, CPU: 0.0%, Memory: 0.08174873562823383%
  PID: 5916, Name: conhost.exe, CPU: 0.0%, Memory: 0.05337098982098068%
  PID: 5968, Name: mysqld.exe, CPU: 0.0%, Memory: 1.5904034274068624%
  PID: 6056, Name: cmd.exe, CPU: 0.0%, Memory: 0.05482892905511479%
  PID: 6116, Name: msedge.exe, CPU: 0.0%, Memory: 1.7549422838305688%
  PID: 6240, Name: conhost.exe, CPU: 0.0%, Memory: 0.07180350728110474%
  PID: 6272, Name: svchost.exe, CPU: 0.0%, Memory: 0.09533881206069818%
  PID: 6304, Name: svchost.exe, CPU: 0.0%, Memory: 0.21348395928392272%
  PID: 6540, Name: msedge.exe, CPU: 0.0%, Memory: 0.09596364316104136%
  PID: 6720, Name: MMSSHOST.exe, CPU: 0.0%, Memory: 0.1082519881344574%
  PID: 6884, Name: mfevtps.exe, CPU: 0.0%, Memory: 0.18875106156200486%
  PID: 7020, Name: svchost.exe, CPU: 0.0%, Memory: 0.12168585679183597%
  PID: 7048, Name: WmiPrvSE.exe, CPU: 0.0%, Memory: 0.4012457049370509%
  PID: 7096, Name: ProtectedModuleHost.exe, CPU: 0.0%, Memory: 0.25388970377278225%
  PID: 7192, Name: unsecapp.exe, CPU: 0.0%, Memory: 0.09742158239517548%
  PID: 7292, Name: WmiPrvSE.exe, CPU: 0.0%, Memory: 0.14433598417927654%
  PID: 7468, Name: ctfmon.exe, CPU: 0.0%, Memory: 0.4186889064882982%
  PID: 7668, Name: McCSPServiceHost.exe, CPU: 0.0%, Memory: 0.07154316098929508%
  PID: 7732, Name: SynTPEnh.exe, CPU: 0.0%, Memory: 0.22691782794130128%
  PID: 7892, Name: svchost.exe, CPU: 0.0%, Memory: 0.06003585489130803%
  PID: 7932, Name: svchost.exe, CPU: 0.0%, Memory: 0.1666216267581836%
  PID: 7968, Name: conhost.exe, CPU: 0.0%, Memory: 0.05045511135271247%
  PID: 7980, Name: ModuleCoreService.exe, CPU: 0.0%, Memory: 0.15448948955985334%
  PID: 7992, Name: SearchFilterHost.exe, CPU: 0.0%, Memory: 0.12840279112052524%
  PID: 8308, Name: svchost.exe, CPU: 0.0%, Memory: 0.3390229411945417%
  PID: 8488, Name: svchost.exe, CPU: 0.0%, Memory: 0.11845756277339616%
  PID: 8560, Name: NgcIso.exe, CPU: 0.0%, Memory: 0.03197052463422648%
  PID: 8572, Name: explorer.exe, CPU: 0.0%, Memory: 4.37949325156377%
  PID: 8704, Name: taskhostw.exe, CPU: 0.0%, Memory: 0.2965864956295668%
  PID: 8728, Name: svchost.exe, CPU: 0.0%, Memory: 0.3137693508890045%
  PID: 8840, Name: svchost.exe, CPU: 0.0%, Memory: 0.35985064453931465%
  PID: 8928, Name: RuntimeBroker.exe, CPU: 0.0%, Memory: 0.46529089272222773%
  PID: 8952, Name: svchost.exe, CPU: 0.0%, Memory: 0.1638619560650012%
